d0,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,Vinho
842,192,572,258,620,628,574,283,593,372,455,971,561,1
571,206,417,31,326,576,511,245,274,265,463,780,551,1
561,320,701,412,337,628,612,321,757,375,447,696,647,1
879,239,610,320,467,990,665,208,558,556,309,799,857,1
582,366,807,536,522,628,496,491,445,259,455,608,326,1
834,202,583,237,457,790,643,396,492,467,463,579,836,1
884,223,583,206,283,524,460,321,495,339,439,846,722,1
797,279,668,361,554,559,458,340,265,322,472,846,725,1
1000,178,433,175,293,628,557,302,495,334,488,579,547,1
745,121,487,278,304,690,593,170,454,507,431,835,547,1
808,281,503,381,380,679,629,170,621,381,626,696,879,1
813,146,513,320,272,421,441,245,366,317,561,568,715,1
716,196,561,278,207,559,511,302,442,369,545,597,743,1
979,196,551,41,228,731,707,566,757,352,626,535,622,1
882,223,545,72,348,800,696,302,804,531,585,634,905,1
684,211,717,340,457,645,542,321,331,514,650,590,736,1
861,233,727,485,543,628,591,377,492,420,480,505,715,1
737,164,674,485,489,679,646,509,413,454,528,476,608,1
832,168,599,304,413,800,757,358,457,633,610,568,1000,1
687,466,642,237,500,593,568,75,394,326,390,766,404,1
797,176,492,278,609,697,597,208,533,373,496,894,358,1
500,605,690,412,348,493,437,226,495,275,447,824,351,1
705,221,535,309,337,562,536,264,404,215,512,1000,540,1
479,170,620,371,272,517,428,245,331,226,496,864,526,1
650,211,668,485,283,534,479,283,394,191,520,934,404,1
532,259,995,742,587,569,494,642,476,196,528,707,394,1
621,204,674,284,250,645,549,396,328,300,358,714,654,1
597,194,417,330,261,490,390,264,297,228,439,549,718,1
747,229,770,454,402,679,555,453,426,275,626,780,454,1
787,186,455,278,283,576,420,245,495,292,455,850,540,1
711,150,717,613,337,697,614,302,621,377,577,527,718,1
671,182,535,438,391,648,601,170,486,480,496,590,882,1
697,215,535,340,370,497,496,547,492,218,610,586,508,1
718,156,717,459,674,679,506,698,297,352,626,634,683,1
653,209,690,433,435,472,462,302,356,249,504,586,583,1
645,211,561,510,326,593,557,245,457,326,455,806,458,1
592,178,791,253,435,559,494,396,300,283,496,553,429,1
532,180,636,381,304,507,441,302,325,253,520,454,590,1
537,150,396,253,304,490,485,283,303,206,569,520,529,1
839,642,615,134,630,697,570,132,527,326,333,828,344,1
666,192,508,289,511,748,622,396,609,414,382,773,369,1
626,613,406,423,217,507,494,264,338,256,350,634,540,1
750,227,658,227,337,783,679,75,407,354,325,839,583,1
582,640,497,356,359,572,483,358,394,263,276,634,287,1
532,204,396,330,402,697,561,283,511,321,325,762,433,1
837,652,578,428,446,645,487,321,265,338,317,755,572,1
882,563,492,278,348,783,597,264,562,309,455,795,561,1
755,186,406,278,337,731,643,151,546,411,350,755,504,1
808,253,556,423,359,610,544,358,621,420,480,542,558,1
766,196,487,351,413,655,675,358,527,650,520,670,700,1
532,196,364,93,239,600,618,75,789,505,520,601,622,1
737,180,663,340,261,507,559,170,593,369,618,769,704,1
734,200,567,175,446,1000,717,358,461,492,431,729,650,1
721,229,706,335,489,697,517,491,401,428,528,608,782,1
713,184,476,299,522,559,540,151,382,390,358,707,558,1
666,196,588,510,500,683,515,132,644,424,407,645,601,1
839,190,503,294,522,766,561,245,511,435,374,747,494,1
595,243,706,320,348,697,610,340,394,403,480,575,708,1
708,136,610,314,413,834,703,113,514,471,333,586,718,1
353,40,0,0,196,345,49,283,3,57,463,201,173,2
342,71,492,278,337,369,158,943,0,170,626,147,287,2
424,123,353,320,326,359,226,755,66,381,407,117,123,2
695,101,299,381,261,386,306,358,101,215,610,436,251,2
353,77,428,433,185,869,582,113,461,270,602,586,101,2
300,140,626,433,370,314,297,604,196,142,789,352,55,2
353,93,642,387,304,497,487,453,527,283,577,377,285,2
547,53,182,227,87,690,599,245,590,343,520,700,160,2
353,85,299,464,87,390,350,264,199,290,520,810,165,2
608,40,535,330,435,534,203,792,3,161,439,242,337,2
311,89,209,320,880,300,198,19,659,134,650,659,314,2
332,172,455,505,359,41,143,453,331,151,346,201,422,2
745,152,701,742,174,679,532,151,461,179,715,692,94,2
647,182,471,691,185,310,316,264,196,210,407,553,138,2
516,184,663,1000,750,800,538,151,489,177,675,817,504,2
245,69,503,536,337,828,380,0,391,165,415,681,434,2
166,225,299,278,293,217,259,396,233,215,610,319,107,2
526,32,187,278,174,334,357,208,331,283,577,443,81,2
213,425,465,381,457,255,207,566,170,117,390,458,158,2
342,49,316,216,717,317,319,415,741,181,472,381,337,2
439,619,556,639,337,638,466,566,486,110,577,681,132,2
255,36,342,433,174,497,405,321,322,104,732,678,0,2
445,211,449,423,174,421,462,245,429,224,553,685,311,2
276,77,615,691,87,352,262,509,312,78,675,531,251,2
532,617,513,613,163,231,264,906,382,300,293,271,169,2
213,30,652,381,261,421,395,170,612,151,252,663,173,2
432,47,471,381,315,421,338,321,331,114,610,692,123,2
297,172,508,629,217,276,285,566,363,100,691,363,155,2
163,184,674,794,196,324,268,509,293,113,715,711,203,2
161,261,588,567,152,334,285,660,297,130,423,542,287,2
276,117,503,670,0,421,264,547,306,39,480,711,248,2
276,215,513,407,120,214,245,736,388,96,488,366,144,2
255,152,567,588,174,162,192,698,385,198,463,505,123,2
437,156,481,521,109,138,236,849,382,151,390,289,155,2
332,413,460,381,196,507,403,226,498,74,545,744,9,2
155,247,492,381,304,703,405,75,297,168,553,619,48,2
379,154,449,433,1000,524,407,358,905,113,553,498,470,2
205,273,738,562,696,214,137,19,363,104,382,363,248,2
332,132,332,278,163,541,456,302,429,138,610,538,107,2
353,65,396,407,196,876,719,208,486,275,455,549,272,2
332,480,455,381,196,645,559,604,757,87,764,571,91,2
276,265,182,356,293,431,386,245,312,172,642,619,308,2
413,119,289,407,196,162,215,302,297,100,455,549,203,2
345,338,588,536,304,545,373,396,284,130,260,773,114,2
208,194,278,459,174,524,274,453,319,67,374,429,98,2
389,196,332,510,163,421,333,358,338,142,455,842,281,2
366,358,487,588,217,241,316,1000,319,121,309,744,26,2
321,196,406,433,109,231,357,453,385,181,423,696,165,2
445,200,492,613,152,138,300,660,385,172,325,421,150,2
313,109,310,433,239,476,359,491,527,121,309,641,24,2
153,121,717,485,261,607,544,302,656,117,390,729,287,2
113,593,246,459,402,759,473,208,1000,138,220,564,203,2
392,334,433,536,196,541,407,245,256,61,341,553,34,2
192,383,834,485,359,266,357,887,202,215,610,451,235,2
100,0,610,536,196,517,352,547,325,154,504,381,111,2
276,128,610,613,152,545,411,566,199,138,366,703,76,2
0,152,449,562,163,510,386,736,505,53,1000,586,92,2
208,144,337,526,174,345,266,321,353,57,382,755,155,2
366,172,444,613,413,352,369,396,379,67,472,619,48,2
458,532,332,278,109,224,192,566,132,181,179,311,67,2
255,532,342,433,185,352,274,453,461,0,366,652,204,2
111,328,567,485,283,662,517,358,448,168,260,777,248,2
139,259,1000,923,533,759,1000,642,461,403,366,886,133,2
366,729,733,820,348,421,378,566,410,68,358,678,62,2
532,1000,412,562,174,566,487,321,505,113,203,670,73,2
221,706,551,536,130,648,568,151,789,130,220,868,73,2
274,281,433,536,163,559,487,453,297,126,309,736,71,2
368,156,497,562,174,607,593,491,429,227,171,575,53,2
200,275,759,923,239,397,401,849,426,147,398,429,134,2
353,176,503,716,196,428,445,509,470,72,333,553,46,2
266,704,545,588,109,386,297,547,297,113,252,476,215,2
482,121,513,381,565,183,192,151,167,241,228,7,251,3
487,445,556,485,370,110,186,208,132,352,211,55,180,3
468,310,556,691,304,59,158,264,132,377,146,33,201,3
439,555,535,562,391,248,181,75,136,317,244,7,230,3
389,99,476,356,163,352,51,887,265,356,220,88,265,3
413,340,449,407,261,221,68,943,167,497,203,114,297,3
321,787,631,536,207,138,27,755,123,219,220,0,315,3
395,943,684,742,283,279,55,943,218,317,276,154,169,3
647,563,444,459,196,221,30,849,148,377,268,201,215,3
476,439,668,691,337,462,55,755,126,311,333,322,223,3
500,409,717,536,283,193,34,755,107,283,236,381,230,3
613,360,529,485,207,145,34,453,73,369,179,440,358,3
655,480,727,665,293,197,38,698,44,262,333,289,173,3
682,832,529,485,239,352,97,642,192,266,350,286,194,3
321,621,449,407,457,138,93,302,230,591,138,267,412,3
561,559,422,536,348,179,44,566,281,232,98,150,394,3
750,850,465,485,109,0,0,509,85,309,81,22,98,3
484,765,599,562,174,248,65,642,142,544,49,216,248,3
603,494,545,562,239,328,89,604,265,609,57,128,265,3
539,625,535,562,467,148,222,396,230,693,73,22,194,3
650,470,674,691,576,145,259,170,265,625,89,11,158,3
463,381,599,588,457,172,215,208,268,812,0,73,144,3
547,229,743,768,500,421,198,245,363,497,106,22,105,3
579,506,492,407,304,283,103,906,461,788,65,88,283,3
408,109,396,485,359,172,51,755,312,539,81,103,258,3
563,879,513,588,250,262,61,906,360,565,98,77,319,3
739,668,545,459,207,283,103,660,363,660,73,136,144,3
374,453,684,845,293,317,51,943,230,531,154,168,429,3
871,186,717,742,304,628,205,755,722,1000,73,253,272,3
645,184,684,613,207,559,160,736,593,893,73,187,244,3
350,611,545,536,196,455,122,698,199,544,65,114,173,3
700,498,631,485,402,293,46,698,123,392,390,201,287,3
479,500,652,588,391,231,55,887,174,367,317,308,208,3
508,536,529,407,391,141,76,509,167,341,163,176,283,3
724,399,503,588,217,128,72,528,196,708,179,150,240,3
711,715,481,613,196,103,27,736,233,456,244,176,173,3
637,585,663,639,446,248,122,566,331,802,301,106,297,3
471,520,503,459,196,172,68,509,177,766,195,176,290,3
671,364,711,716,380,197,105,491,356,630,211,194,337,3
624,763,802,742,457,345,131,264,221,616,154,238,251,3
308,453,513,433,283,93,32,509,101,360,146,205,165,3
458,326,492,459,174,141,36,660,73,735,73,132,137,3
824,350,599,485,228,241,76,585,262,718,114,161,272,3
705,970,583,510,272,241,57,736,205,548,130,172,330,3
624,626,599,639,348,283,86,566,315,514,179,106,337,3
589,700,481,485,543,210,74,566,297,761,89,106,397,3
563,366,540,485,543,231,72,755,331,684,98,128,401,3
816,664,738,716,283,369,89,811,297,676,106,121,201,3
